название,платформа,заявок,потрачено,просмотры,привлечено_подп,текст_начало
саморазвитие 90,tg,3.0,2755.0,5126.0,50.0,"🌿Сделала паузу - и поняла, куда идти дальше


Ты стараешься стать лучше - читаеш"
87 русский язык,tg,5.0,16615.0,16204.0,200.0,"«Когда вы в последний раз говорили “восторг” вместо “кайф”?»

Недавно в компании"
85 интересные факты,tg,14.0,14034.0,35334.0,147.0,"Когда человек врёт, речь у него незаметно меняет ритм.


Лингвисты доказали: язы"
83 психология,tg,8.0,22027.0,19948.0,217.0,"💬 Когда слова не спасают


Иногда объясняешься, стараешься быть мягче, а только "
89 литература,tg,20.0,49543.0,61286.0,488.0,"⚡️ Забытое слово звучит, как найденный артефакт

Перечитывал Бунина и наткнулся "
русский язык 75,tg,9.0,25804.0,24296.0,205.0,"«Когда вы в последний раз говорили “восторг” вместо “кайф”?»

Недавно в компании"
88 психология,tg,9.0,25524.0,24931.0,191.0,"💬 Когда слова не спасают


Иногда объясняешься, стараешься быть мягче, а только "
бизнес 91,tg,6.0,17951.0,12930.0,133.0,"📈 Одно слово решило исход сделки


Однажды я видел, как один человек готовил пре"
81 литература,tg,11.0,31988.0,36969.0,230.0,"⚡️ Забытое слово звучит, как найденный артефакт

Перечитывал Бунина и наткнулся "
80 образование,tg,6.0,29411.0,19097.0,203.0,"⚡️ Забытое слово звучит, как найденный артефакт


Недавно я сказал «восторг» вме"
86 образование,tg,9.0,55408.0,37518.0,355.0,"⚡️ Забытое слово звучит, как найденный артефакт


Недавно я сказал «восторг» вме"
74 русский язык,tg,2.0,23776.0,15876.0,106.0,"Человек думает словами.

И чем беднее речь — тем беднее мысли.


Русский язык мо"
71 история,tg,12.0,14583.0,12477.0,63.0,"Кто владеет словом — тот хранит историю.


Но сегодня, когда в школе ""Слово о по"
72 Литература,tg,5.0,9146.0,9050.0,35.0,"Слово — это воздух книги.

Не будет дыхания — не будет смысла.


Мы всё ещё чита"
77 литература,tg,18.0,37025.0,35517.0,136.0,"Иногда пауза в тексте важнее, чем слова.


Но в литературе именно остановка даёт"
78 история,tg,15.0,21849.0,32176.0,79.0,"В Древнем Риме за неправильное слово могли оштрафовать.


Юрист, который оговори"
76 политика,tg,10.0,25116.0,22841.0,83.0,"Слово делает событие катастрофой.


«Неудача» пролетает мимо.

«Провал» — и люди"
79 русский язык,tg,9.0,30629.0,21503.0,97.0,"Слово «обед» выросло из… службы в храме.

Когда-то на Руси говорили «обедня» — т"
82 история,tg,9.0,28231.0,52375.0,88.0,"⚡️ Забытое слово звучит, как найденный артефакт


Листал поземельную перепись и "
84 саморазвитие,tg,5.0,19076.0,10950.0,50.0,"💬 Когда рост перестаёт радовать


Иногда стараешься стать лучше - читаешь, слуша"
"мультик сегменты(русский язык, литература, психология, интересные факты, образование)",tg,14.0,42666.0,41651.0,109.0,"Вселенная “Потолкуем?” представляет

Декабрь пахнет мандаринами, елями и тёплыми"
"конкурс сегменты(русский язык, литература, психология, интересные факты, образование)",tg,15.0,53542.0,44951.0,131.0,"🎓 Когда язык - не просто предмет, а повод посмеяться вместе.

Канал «Потолкуем?»"
71 история,vk ,251.0,170354.0,3136283.0,,"Человек думает словами.
И чем беднее речь — тем беднее мысли.

Русский язык може"
72 литература,vk ,45.0,41597.0,331124.0,,"Слово — это воздух книги.

Не будет дыхания — не будет смысла.

Мы всё ещё читае"
73 религия,vk ,28.0,13409.0,78774.0,,"🙌 Сначала было Слово.

И до сих пор всё важное начинается с него.

Мы всё чаще б"
74 русский язык,vk ,29.0,43229.0,982443.0,,"Человек думает словами.
И чем беднее речь — тем беднее мысли.

Русский язык може"
литература 75,vk ,30.0,27759.0,220771.0,,"Иногда пауза в тексте важнее, чем слова.

Но в литературе именно остановка даёт "
литература 77,vk ,42.0,25640.0,254315.0,,"⚡️ Забытое слово звучит, как найденный артефакт

Один человек перечитывал Бунина"
78 русский язык,vk ,18.0,25278.0,498394.0,,"«Когда вы в последний раз говорили “восторг” вместо модного “вау”?»

Недавно в к"
психология 79,vk ,22.0,24209.0,345375.0,,"💬 Когда слова не спасают

Иногда объясняешься, стараешься быть мягче, а только х"
интересные факты 80,vk ,44.0,39671.0,1814516.0,,"Когда человек врёт, речь у него незаметно меняет ритм.

Лингвисты доказали: язык"
"мультик сегменты(русский язык, литература, психология, история, интересные факты",vk ,76.0,57958.0,456098.0,,"Вселенная “Потолкуем?” представляет

Декабрь пахнет мандаринами, елями и тёплыми"
история 81,vk ,40.0,25669.0,1274510.0,,"1826 год. Декабрист, сосланный в Сибирь, пишет жене письмо. Он выбирает каждое с"
литература 82,vk ,8.0,5140.0,95109.0,,"⚡ Одно точное слово звучит, как нота, попавшая в сердце

Один человек читал ночь"
русский язык 83,vk ,4.0,5784.0,296624.0,,"⚡ «Помните, как одно слово вдруг делает разговор умнее?»

Недавно в беседе челов"
психология 84,vk ,3.0,4000.0,69069.0,,"⚡️ «Бывают моменты, когда даже правильные слова не спасают»

Однажды ты стараешь"
интересные факты 85,vk ,12.0,12848.0,604735.0,,"⚡️«У мозга есть странная привычка - верить словам, которые кажутся “слишком точн"
